Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0K9tfzrxJyCQIf7oAlPwaK,"YA YA","COWBOY CARTER","Beyoncé",2024-03-29,274766,66,true,15ap198hsn5e4balkq3gqjv3t,2025-08-07T10:48:03Z,"","Parkwood Entertainment/Columbia",0.617,0.904,11,-5.371,1,0.341,0.317,0,0.507,0.764,151.926,4
spotify:track:4sLvxpKLvagQ4lZHUpymza,"Big Poe (feat. Sk8brd)","DON'T TAP THE GLASS","Tyler, The Creator;Pharrell Williams",2025-07-21,182401,80,true,bob_varney,2025-08-07T12:57:36Z,"","Columbia",0.711,0.71,9,-4.612,1,0.297,0.117,0,0.0875,0.567,109.975,4
spotify:track:0sMra9TqwOskuvn4eR11n3,"Тоска","Этажи","Molchat Doma",2018-09-07,189003,64,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-07T13:52:19Z,"post-punk,darkwave,cold wave,rock gotico","Sacred Bones Records",0.386,0.583,9,-5.216,1,0.0374,0.235,0.896,0.112,0.372,159.939,4
spotify:track:2kNwTLUVbnNkBKaQw0apx0,"I Can't Breathe","Worlds Collide","Dead by April",2017-04-07,241853,46,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-07T18:49:57Z,"metalcore","Universal Music AB",0.477,0.9,1,-5.204,0,0.0927,0.000834,0.0111,0.121,0.486,97.457,4
spotify:track:2nQeWDP8OA9vFqiCfghot2,"Welcome To My Island - George Daniel & Charli XCX Remix","Welcome To My Island (George Daniel & Charli XCX Remix)","Caroline Polachek;Charli xcx;George Daniel",2023-01-19,202494,53,true,velvetvals,2025-08-09T11:20:42Z,"art pop,hyperpop","Perpetual Novice",0.717,0.712,9,-6.265,0,0.0655,0.0104,0.00154,0.177,0.505,134.378,4
spotify:track:6ONyZXRIEiZWWnAA1F5YvH,"NEVER ENOUGH","NEVER ENOUGH","Turnstile",2025-04-08,287159,53,false,mralecolo,2025-08-07T11:29:11Z,"hardcore punk,hardcore","Roadrunner Records",0.186,0.625,2,-6.64,1,0.0392,0.0813,0.299,0.0929,0.0352,153.719,4
spotify:track:7ghmZhLpmQe9nTluI1czmr,"Say It","Skin","Flume;Tove Lo",2016-05-27,262521,50,true,3172n4ykfida5xhdvoynxxppdkoa,2025-08-07T13:52:22Z,"future bass","Transgressive",0.587,0.532,3,-6.834,0,0.0324,0.0684,0.00000366,0.0618,0.265,75.059,4
spotify:track:0lNhWQBiA483reJSVovSWF,"Raise Your Banner","Resist (Extended Deluxe)","Within Temptation;Anders Friden",2019-02-01,334360,45,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-07T18:52:53Z,"metal sinfonico,gothic metal,rock gotico,power metal,metal","Vertigo Berlin",0.383,0.889,1,-6.784,1,0.0986,0.000269,0.000491,0.104,0.322,173.983,3
spotify:track:77vCn7iUHH8KAOqdOe1XjY,"I'm Outta Love","Not That Kind","Anastacia",2000-05-01,242960,57,false,velvetvals,2025-08-10T18:24:13Z,"","Epic",0.759,0.712,10,-5.859,0,0.053,0.365,0,0.0989,0.652,119.439,4
spotify:track:53jnnqFSRGMDB9ADrNriCA,"Bloody Mary","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,244760,76,false,15ap198hsn5e4balkq3gqjv3t,2025-08-07T10:48:12Z,"art pop,pop","Interscope",0.591,0.634,9,-6.365,0,0.0291,0.0107,0.00000195,0.113,0.44,99.998,4
